miRNA	Tumor_1	Tumor_2	Tumor_3	Tumor_4	Tumor_5	Tumor_6	Tumor_7	Tumor_8	Tumor_9	Tumor_10	Tumor_11	Tumor_12	Tumor_13	Tumor_14	Tumor_15	Tumor_16	Tumor_17	Tumor_18	Tumor_19	Tumor_20	Tumor_21	Tumor_22	Tumor_23	Tumor_24	Tumor_25	Tumor_26	Tumor_27	Tumor_28	Tumor_29	Tumor_30	Tumor_31	Tumor_32	Tumor_33	Tumor_34	Tumor_35	Tumor_36	Tumor_37	Tumor_38	Tumor_39	Tumor_40	Tumor_41	Tumor_42	Tumor_43	Tumor_44	Tumor_45	Tumor_46	Tumor_47	Tumor_48	Tumor_49	Tumor_50	Control_1	Control_2	Control_3	Control_4	Control_5	Control_6	Control_7	Control_8	Control_9	Control_10	Control_11	Control_12	Control_13	Control_14	Control_15	Control_16	Control_17	Control_18	Control_19	Control_20	Control_21	Control_22	Control_23	Control_24	Control_25	Control_26	Control_27	Control_28	Control_29	Control_30	Control_31	Control_32	Control_33	Control_34	Control_35	Control_36	Control_37	Control_38	Control_39	Control_40	Control_41	Control_42	Control_43	Control_44	Control_45	Control_46	Control_47	Control_48	Control_49	Control_50
hsa-let-7g-3p	40.058583	33.75275	51.054217	47.359894	73.724344	37.216488	37.768142	37.559024	39.337316	45.389555	53.661855	48.55915	36.429533	34.006163	47.020432	46.891814	28.667022	40.909549	36.403718	44.076014	23.855791	33.131346	52.313017	49.681543	40.809198	61.968834	78.615666	46.897137	69.719813	36.836075	37.95531	27.770783	41.043918	41.039612	51.696029	53.536643	19.421298	37.564329	54.844055	25.197861	28.754306	35.579962	39.085954	47.682106	37.056992	48.555613	33.567808	51.778402	37.168375	63.930797	23.383866	19.256507	27.478354	38.402232	35.778026	33.245677	37.932168	53.96742	39.401747	37.95331	37.504773	23.372579	31.393926	43.188818	53.997067	39.585195	32.774864	25.139713	60.209084	52.686507	28.013907	35.194319	21.113191	34.040664	47.113632	48.273469	55.802139	59.150905	43.257198	22.336783	43.533348	31.028509	24.062615	35.251049	46.267756	48.668573	50.487536	48.850809	37.837253	27.946913	27.276225	27.70279	27.672082	29.086876	30.454791	38.334579	32.332063	30.474764	26.251372	22.757478
hsa-let-7g-5p	1012.695951	742.794898	1175.268111	1149.638229	407.424001	877.8956	454.721764	486.572931	711.349799	1033.693101	379.846112	395.410215	704.869102	636.776367	897.407044	492.251856	559.00693	915.23224	291.524519	1038.04664	841.694528	873.946556	527.983957	926.049382	936.979173	365.710015	527.744052	390.480375	570.286286	1095.999352	1016.234826	663.258883	421.117261	369.356503	353.256196	381.559496	560.717902	241.337948	374.395271	956.048842	508.951217	632.892061	729.038031	622.227886	642.232335	1191.635648	803.208113	1249.309275	648.52406	969.540425	383.866922	809.648561	772.916771	944.796658	1257.59761	702.813583	666.861068	886.396367	1141.291943	771.412466	708.445405	1036.765761	1082.020198	807.858186	854.459106	819.806377	1074.311617	1008.247518	1027.544203	1302.852778	1037.469556	768.220062	961.732885	1230.927247	905.290963	913.198764	991.087061	662.360137	813.677358	1266.169384	1517.169681	1280.313884	905.452937	1382.120322	771.313989	957.719241	962.435162	567.367242	1229.339749	734.74975	1064.758689	622.371426	1004.984883	743.792973	918.549177	844.835136	888.054004	931.772666	822.346347	845.06102
hsa-let-7i-3p	61.398201	77.115658	167.457837	97.969979	122.873906	59.959898	72.361089	63.822103	68.137851	71.326445	100.449673	74.415319	86.414241	50.498424	269.262301	119.585343	45.756978	42.178062	88.577468	66.114021	63.269705	130.465406	113.794295	106.669199	101.20681	113.140069	161.598869	84.414846	163.405813	103.948373	73.305845	36.564864	71.40974	76.704989	128.819778	87.255855	46.726492	79.759877	83.128007	47.665952	155.99211	49.236917	53.058712	77.424411	53.052816	116.938099	61.69219	184.331111	77.412754	217.088749	19.777941	8.096486	23.250916	61.79962	50.089235	25.266714	56.220892	106.456278	37.137278	31.094278	33.754297	37.326358	38.17216	46.825771	52.810318	48.650507	20.67676	74.210498	79.432467	146.676636	31.197305	90.067181	22.737282	32.779899	52.179613	51.963161	75.658113	75.834494	32.83758	44.673567	51.980116	43.439913	20.957762	69.455036	43.220181	55.027281	73.74881	55.364249	78.642133	27.438788	22.018157	65.357069	41.996453	68.750798	25.344927	41.774862	48.228661	36.677592	51.912824	40.96346
hsa-let-7i-5p	441.767548	397.063603	651.451829	673.253408	682.920228	319.234765	346.263687	245.122058	467.598931	392.295449	614.893913	566.313192	585.414121	237.897196	775.234299	400.263133	357.235199	364.697533	396.756323	363.344578	358.355463	584.004357	350.011837	467.956315	709.263852	325.33638	1105.714778	389.493065	647.631705	656.994087	509.047692	459.606469	290.310631	427.984521	388.560802	304.06447	346.122161	474.442621	723.251984	420.804276	523.328369	254.091249	219.976509	442.829861	304.187253	482.723711	355.788535	632.524954	303.242673	1276.31626	108.286969	93.656645	183.189024	382.750732	253.427682	140.961666	207.949567	208.476878	178.44009	119.575791	144.097282	299.308554	272.199607	229.582657	200.56054	115.129461	172.672936	365.976203	176.637495	222.128918	288.097561	555.351202	194.890988	233.661846	170.21699	150.354947	282.434137	403.222837	138.296735	362.408045	243.6568	263.742333	119.536864	347.624201	162.906836	137.201353	211.730449	383.362531	221.08826	239.327201	140.653307	421.727916	196.960108	325.24416	133.87844	236.888036	274.822538	249.731255	354.540997	257.538794
hsa-miR-100-3p	0	0	0.510542	0	0.431137	0	0.167116	0	0	0	0	0	0	0	0	0.448725	1.102578	0	0	0	0	0.171665	0	0	0	0	0	0	0	0	0.372111	0	0.33369	0.977134	0	0.295783	0.38458	0	0.255386	0.629946	0	0	0	0.4721	0	0	0	0.414227	0	0	0	0	0	0	0.5963	0.332457	0.33868	0	0	0	0	0	0.356749	0	0	0	0.219966	0.241728	0.362705	0	0.31834	0	0.270682	0	0	0	1.027033	0.21667	0.315746	0.250975	1.299502	0	0	0	0	0.489131	0.528665	0	0	0	0	0.268959	0.325554	0	0.204395	0	0	0	0	0
hsa-miR-100-5p	2387.416662	4551.93341	5298.406802	7000.442492	7652.24185	1201.679045	4505.940048	8032.830541	4020.835665	1125.012564	1297.641249	7492.613652	8917.610799	1410.890932	5257.045025	4087.889167	7041.061653	5994.041791	756.077242	1010.92294	3508.87565	3367.895792	3824.78267	8236.542599	6193.203801	6520.811435	21645.51323	2025.95633	374.743997	2492.237935	3228.806146	4675.211427	1496.601364	8405.791862	2146.646081	833.219459	2186.915194	7245.284264	2413.074566	6166.966485	7858.551819	1552.220786	1181.075599	1793.03605	4062.939301	602.898851	3245.190617	8145.778151	4313.325814	9029.420126	3428.03107	3728.541033	3672.939949	1588.733443	3059.02122	2634.387335	4357.119172	4307.043562	3054.31463	2518.865195	2712.581985	3296.580238	2505.092592	3060.495943	2186.386802	3394.354967	2527.623826	5108.437975	3015.532127	2198.523412	2528.891731	4372.799412	2682.728573	3525.5202	3747.813396	3032.311859	3648.706706	2953.861863	4203.841809	3424.555252	3428.738503	2173.547106	2604.195975	2212.09055	3095.229846	2998.375351	2915.060408	3265.560206	2038.01828	1793.683693	2134.118187	4463.645733	2984.027025	4633.501584	2726.010316	2910.233438	3003.918108	1655.346054	2692.387897	3229.665433
hsa-miR-101-5p	9.359482	6.797428	3.573795	11.607816	17.676597	9.924398	17.547146	28.522266	13.112438	4.863167	16.187254	11.982128	11.013578	10.654292	2.813188	12.788677	13.782223	9.19672	7.074405	8.476156	7.779062	13.38987	8.089642	4.748969	4.897104	9.858679	10.19092	10.366735	22.332127	7.064454	8.186439	10.18262	8.34226	2.931401	21.645083	7.394565	8.845344	3.602059	4.150014	11.759001	36.66174	6.828479	16.805072	5.6652	13.59645	6.878712	29.938857	63.79099	9.484344	5.519206	22.291163	23.632985	16.909756	13.733247	14.90751	15.625468	10.160402	25.874789	24.456256	21.034364	15.001909	9.767645	25.32919	13.183955	23.141599	23.569811	16.717381	22.238976	28.653721	37.726141	12.096916	8.514755	13.263416	15.549438	17.730937	15.066242	20.198319	13.000199	16.418791	17.819232	31.837821	17.453535	15.136162	14.65885	15.514935	25.434833	30.398257	8.374425	25.966742	14.735645	15.116944	5.917101	16.277695	9.06604	17.782326	14.252599	14.010561	7.551269	14.453001	10.240865
hsa-miR-103a-2-5p	0.374379	0.234394	0.510542	3.714502	0.431137	0.827033	0.501347	1.976791	0.468301	1.621056	1.552202	1.261276	1.694396	1.167593	0.803768	1.121814	2.205156	1.268513	0.736917	0.565077	1.555812	1.888315	0.539309	0	1.632368	0.938922	1.455846	0.987308	2.178744	1.513811	1.860555	0.925693	2.669523	0.488567	0.420293	0.591565	0.76916	0.51458	0.830003	0.629947	4.313146	1.078181	1.132926	1.4163	1.332985	1.21389	0.756032	2.89959	0.512667	1.379802	0.437081	0	0.704573	1.017278	1.788901	0.664914	0	1.47856	0.452894	0.228634	0.394787	0	1.783745	0.22731	0.593374	0.906531	0.219966	1.20864	1.088115	0.650451	0.95502	1.892168	1.894774	0.84051	0.506598	0.307474	1.369378	0	0.631492	1.0039	1.949254	0.775713	0	2.094122	0.831157	0.489132	0.528665	0.465246	0.741907	1.016251	0.328629	0.806877	0	0.377752	1.430762	1.474407	0.538868	0.809065	0.589918	1.137874
hsa-miR-106a-3p	0	0	0	0.464313	0	0.413517	0	0	0	0.540352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.991546	0	0.744222	0	0	0	0.420292	0	0	0.51458	0	0.209982	0	0	0	0	0	0	0	0.414227	0	0	0.327811	0	0	0.254319	0	0.664914	0.67736	1.478559	0.452894	0	0	1.046532	0.713498	0.22731	0.395582	0.302177	0.439932	0.483456	0.362705	2.276577	0	0.189217	0	0	0.506598	0.922423	0.342344	0	0.947238	0.250975	2.599005	1.551425	0	0.69804	0.554104	1.222828	2.114663	0	1.483814	0	0.328629	0	0.651108	0.377752	0.613185	0	0	0	0.294959	0
hsa-miR-106a-5p	12.354516	3.047122	10.210842	16.715257	16.383189	14.886597	13.870601	11.013549	8.663576	8.105278	19.069914	11.982126	19.485562	2.627085	1.607536	10.76941	6.615467	11.09949	8.695623	14.692003	9.853478	13.7332	15.100663	5.47958	10.610392	12.205983	7.279229	8.885773	118.19687	10.092076	13.395993	9.719773	4.004284	10.259903	14.920396	7.098783	6.345571	7.718698	7.086949	10.289126	17.971443	6.469084	5.664631	16.995602	8.531105	8.092601	11.794094	27.753223	9.228012	14.257949	14.095882	16.63062	28.887499	17.548039	21.466816	26.264084	18.288723	15.524875	28.079407	26.064321	15.199305	18.8376	28.896681	21.821719	21.954851	19.339331	31.895003	16.437504	18.497972	26.993703	21.328771	13.245176	36.000697	24.795051	26.849705	20.60078	24.99114	18.850289	20.523488	24.595559	24.690553	37.622065	21.733976	26.874561	14.129674	23.722871	25.375935	11.863768	58.610646	19.816903	17.745977	6.455018	10.743279	8.310537	17.782328	13.761128	13.20226	14.023783	12.683247	12.895904
hsa-miR-106b-3p	153.121126	155.403287	190.432235	244.228478	209.101207	146.798369	119.487711	190.619113	128.080429	143.193243	240.813123	387.211916	384.628092	111.943038	137.846222	134.617646	185.784355	199.790821	166.543328	136.183581	97.497577	184.883212	294.462964	211.146565	255.465576	212.665774	502.994674	205.360095	230.946882	182.666561	211.358984	234.66312	189.869827	186.143952	266.886001	154.990059	123.834819	351.458037	428.409323	132.288772	169.650404	126.865928	117.069044	198.282027	98.640914	174.800203	104.937202	153.678295	147.904498	247.444379	21.198458	16.63062	52.138415	38.656552	36.374325	35.240419	69.768095	107.195556	52.535662	44.812343	60.797211	69.071204	36.388413	47.962318	49.447865	29.311174	39.593796	94.757378	33.368891	49.434252	48.387659	140.209623	56.572523	55.893931	58.258791	68.259301	73.946391	132.38536	59.675989	46.932342	68.873654	40.337062	38.034456	73.643279	63.445008	75.570798	68.462156	103.051944	39.321067	59.958832	46.993978	70.467292	44.600884	58.173753	28.61524	45.460877	48.76753	36.947281	68.135581	56.514403
hsa-miR-106b-5p	199.169776	121.650538	168.989464	251.193168	123.305043	102.552102	79.881297	181.582354	88.274811	114.554593	166.529149	273.066383	160.967703	101.726593	93.63898	112.405733	107.501334	136.682292	90.640837	136.183581	97.497579	129.092086	285.2947	205.301677	173.847181	136.143651	206.002161	177.221813	165.584557	203.355313	152.937574	118.025831	101.108186	133.867304	174.211415	110.622677	103.067487	128.644963	159.871376	97.431728	186.184131	96.67687	75.528416	113.776115	93.308973	177.227982	101.308252	218.297741	156.876176	153.617888	93.644734	51.642448	61.297867	97.404339	90.637665	66.158896	47.07653	91.670684	74.72745	75.677986	64.350296	46.745159	93.825028	51.144652	89.79732	76.14862	61.810314	80.253698	85.235751	118.056803	51.252715	90.634832	62.798207	83.630769	85.108495	105.15622	120.162885	127.83529	79.567984	99.888089	103.960234	62.832732	43.079845	124.94926	58.735116	88.53278	100.71074	83.976864	88.286922	34.552548	34.17744	52.447031	52.088624	54.396236	64.179892	62.170823	53.078471	49.892313	63.121276	44.377083
hsa-miR-107	50.166823	42.659725	50.033134	39.002267	38.37115	50.449018	34.42583	42.9246	47.766742	34.582519	62.531582	72.523406	71.164667	83.336994	43.805359	37.019852	58.436623	61.522887	21.812753	53.117248	28.523227	36.564646	63.638515	29.224436	35.912095	46.476626	50.954599	39.985978	31.59179	43.395922	54.7003	37.953404	51.722008	41.039612	62.413495	44.663167	33.073895	61.235003	63.527163	39.896612	18.690299	33.064209	27.756693	55.235707	44.788306	79.712129	46.571555	48.050356	39.731712	56.571855	39.337342	67.83542	62.707011	32.807206	36.970625	34.907961	37.932168	47.313901	40.760428	56.015426	57.441523	34.535601	49.944881	25.685982	25.91068	57.41364	48.832347	40.368577	54.043092	52.361281	34.380705	32.16685	51.429567	66.820562	47.113632	67.951826	46.216493	32.933838	58.097259	45.426492	206.620966	34.13136	78.009448	45.721656	57.0728	55.516414	59.210515	27.682125	43.030601	27.946913	50.280268	21.78569	36.136482	23.420603	60.909581	20.395959	33.679233	26.968817	25.661453	32.998342
hsa-miR-10a-3p	0.748758	1.17197	2.552711	0.464313	1.724547	2.894617	3.175198	1.129595	1.404904	0	0.443486	0	2.541595	1.605441	3.616956	0.897451	2.205156	0	5.158421	0.565077	1.555812	2.74664	1.078618	1.826526	2.448552	2.347305	0.727923	0.493654	2.178744	0.504604	0.744222	3.702771	0.66738	0.977134	3.362341	2.662044	0.19229	0.51458	3.575398	2.939749	2.156573	1.078182	1.321747	0.4721	1.066388	0.80926	0.604825	1.242681	0.769001	2.299669	2.731758	1.312944	3.522866	9.664136	2.981501	4.321939	3.725481	2.957119	6.340512	2.514977	4.934839	1.744221	2.140494	5.228122	7.120489	3.626125	3.299485	2.41728	2.538937	9.431534	3.183399	7.001022	3.789547	4.622806	3.546187	6.45696	5.819852	3.68339	5.367682	3.764626	3.248757	9.30855	1.940534	3.490202	4.986943	4.646749	7.665648	2.558852	5.935255	6.097509	3.61492	8.87565	3.581093	5.666276	2.861525	6.14336	5.658112	4.584698	6.194142	5.310077
hsa-miR-10a-5p	29113.97902	27267.29998	17760.23101	14762.82211	37207.51162	45110.93202	62378.09956	33704.28283	28726.07507	12424.85057	26270.36129	13043.49197	24981.34045	37519.01535	45846.12664	28191.62732	20860.22015	7490.253062	95646.71944	8474.461339	49538.10522	32883.63395	12299.49149	22208.74651	17373.29152	30761.42328	17644.84936	17446.72238	28780.66583	15009.94322	18917.37315	37272.09444	18032.62825	25393.7482	57856.05219	42674.91546	26720.05408	18306.1781	28462.85139	27884.16291	26318.81624	29933.53016	38757.4065	16393.2027	9268.513631	11047.21102	6894.253386	40208.62139	16606.06086	17982.03131	54443.21321	45638.13874	49046.74773	85165.47166	37657.56493	66568.81357	55713.54981	51059.83139	47565.15328	48428.42428	45659.099	58663.08147	46852.22379	84660.53704	62601.19505	37690.5453	55001.49907	31377.02051	35932.85454	49662.56242	96329.63709	95667.80651	68528.00191	43911.19673	44117.10321	40973.72201	51003.1547	55976.4731	45308.9148	50066.52094	43814.04113	75672.71748	56181.93821	38378.96832	52728.62021	49287.32336	48705.14011	56855.59445	63277.24023	85444.89199	45027.79053	135327.3246	52636.5308	107925.1538	51927.66558	95116.93643	87023.36477	90013.28484	67735.32363	105325.4016
